variable,label_2025_or_trended,in_2019,in_2021,in_2023,in_2025,in_trended,trended_nm_2019,trended_nm_2021,trended_nm_2023,in_2025_catalogue
WP12258A,Sampling Stratification 2,1,0,0,0,0,,,,0
WP12259,Sampling Stage 1 (PSU),1,0,0,0,0,,,,0
WP14,Urban/Rural,1,0,0,0,0,,,,0
WP20711,"Feel More, Less or About as Safe Compared With Five Years Ago",0,1,1,0,1,100,97,100,0
WP20719,Climate Change a Threat to Country in Next 20 Years,0,1,1,1,1,100,100,100,1
WP20720,Worried Food You Eat Could Cause Serious Harm,0,1,1,1,1,100,100,100,1
WP20721,Worried Water You Drink Could Cause Serious Harm,0,1,1,1,1,100,100,100,1
WP20722,Worried Violent Crime Could Cause Serious Harm,0,1,1,1,1,100,100,100,1
WP20723,Worried Severe Weather Events Could Cause Serious Harm,0,1,1,1,1,100,100,100,1
WP20726,Worried Mental Health Issues Could Cause Serious Harm,0,1,1,1,1,100,100,100,1
WP22213,Worried Traffic or Roadside Accident Could Cause Serious Harm,0,1,1,1,1,0,100,100,1
WP22214,Worried The Work You Do Could Cause Serious Harm,0,1,1,1,1,0,61,59,1
WP22222,"Used Internet, Including Social Media, in Past 30 Days",0,1,0,0,0,,,,0
WP22223,Worry About Personal Information: Being Stolen,0,1,0,0,0,,,,0
WP22224,Worry About Personal Information: Being Used by Government,0,1,0,0,0,,,,0
WP22225,Worry About Personal Information: Being Used by Companies,0,1,0,0,0,,,,0
WP22226,Feel Safe in Car Driven by Computer Without a Human Driver,0,1,0,0,0,,,,0
WP22227,Artificial Intelligence Will Help or Harm People in Next 20 Years,0,1,0,0,0,,,,0
WP22228,How Long Household Could Cover Basic Needs If Income Was Lost,0,1,1,1,1,0,100,100,1
WP22229,Household Could Cover Basic Needs If Income Was Lost: Weeks,0,1,1,1,1,0,28,33,0
WP22230,Household Could Cover Basic Needs If Income Was Lost: Months,0,1,0,1,1,0,64,59,0
WP22231,Government of (Country) Cares About You and Your Wellbeing,0,1,0,1,1,0,93,95,1
WP22231_ALL,Government of country cares about you and your wellbeing (combined version),0,0,1,0,1,0,95,96,0
WP22232,Neighbors Care About You and Your Wellbeing,0,1,1,1,1,0,100,100,1
WP22233,Look to National Weather Service for Information About Disaster,0,1,0,0,0,,,,0
WP22234,Look to Disaster Management Agency for Information About Disaster,0,1,0,0,0,,,,0
WP22235,Look to Local News for Information About Disaster,0,1,0,0,0,,,,0
WP22236,Look to Local Religious Leaders for Information About Disaster,0,1,0,0,0,,,,0
WP22237,Look to Famous Person for Information About Disaster,0,1,0,0,0,,,,0
WP22238,Look to Emergency Services for Information About Disaster,0,1,0,0,0,,,,0
WP22239,Look to Internet/Social Media for Information About Disaster,0,1,0,0,0,,,,0
WP22240,Trust Most to Provide Information About a Disaster,0,1,0,0,0,,,,0
WP22241,Well Prepared to Deal With a Disaster: The National Government,0,1,0,0,0,,,,0
WP22242,Well Prepared to Deal With a Disaster: Hospitals,0,1,0,0,0,,,,0
WP22243,Well Prepared to Deal With a Disaster: You and Your Family,0,1,0,0,0,,,,0
WP22244,Well Prepared to Deal With a Disaster: Local Government,0,1,0,0,0,,,,0
WP22245,Experienced a Disaster in Past Five Years,0,1,0,0,1,0,0,0,0
WP22247,Type of Disaster Experienced in Past Five Years (Coded),0,1,1,0,1,0,24,28,0
WP22248,Received Warning About Disaster From Internet/Social Media,0,1,1,0,1,0,24,28,0
WP22249,Received Warning About Disaster From Local Government or Police,0,1,1,0,1,0,24,28,0
WP22250,"Received Warning About Disaster From Radio, TV, or Newspapers",0,1,1,0,1,0,24,28,0
WP22251,Received Warning About Disaster From Local Community Organization,0,1,1,0,1,0,24,28,0
WP22252,Could Protect Yourself or Family in a Future Disaster,0,1,1,1,1,0,100,100,1
WP22253,Plan for Future Disaster Known by All Household Members,0,1,0,0,1,0,0,0,0
WP22254,Happened for More Than a Day: Gone Without Electricity,0,1,0,0,0,,,,0
WP22255,Happened for More Than a Day: Been Without Clean Drinking Water,0,1,0,0,0,,,,0
WP22256,Happened for More Than a Day: Been Unable to Obtain Food,0,1,0,0,0,,,,0
WP22257,Happened for More Than a Day: Unable to Obtain Medical Help/Medicine,0,1,0,0,0,,,,0
WP22258,Happened for More Than a Day: Been Unable to Access a Telephone,0,1,0,0,0,,,,0
WP22259,Experienced Discrimination Due to the Color of Your Skin,0,1,1,1,1,0,96,98,1
WP22260,Experienced Discrimination Due to Your Religion,0,1,1,1,1,0,95,97,1
WP22261,Experienced Discrimination Due to Your Nationality/Ethnic Group,0,1,1,1,1,0,95,97,1
WP22262,Experienced Discrimination Due to Your Gender,0,1,1,1,1,0,96,98,1
WP22263,Experienced Discrimination Due to a Disability,0,1,1,1,1,0,96,98,1
WP22331,Greatest Source of Risk to Safety in Your Daily Life (Coded),0,1,1,1,1,0,97,100,1
WP22400,Ever Experienced Physical Violence/Harassment at Work,0,1,0,0,0,,,,0
WP22400_ALL,Ever Experienced Physical Violence/Harassment at Work (all countries),0,1,0,0,0,,,,0
WP22401,How Many Times You Experienced Physical Violence/Harassment at Work,0,1,0,0,0,,,,0
WP22402,Last Time You Experienced Physical Violence/Harassment at Work,0,1,0,0,0,,,,0
WP22403,Ever Experienced Psychological Violence/Harassment at Work,0,1,0,0,0,,,,0
WP22403_ALL,Ever Experienced Psychological Violence/Harassment (or Psychologically Hurting) at Work,0,1,0,0,0,,,,0
WP22404,How Many Times You Experienced Psychological Violence/Harassment at Work,0,1,0,0,0,,,,0
WP22404_ALL,How Many Times You Experienced Psychological Violence/Harassment (or Psychologically Hurting) at Work,0,1,0,0,0,,,,0
WP22405,Last Time You Experienced Psychological Violence/Harassment at Work,0,1,0,0,0,,,,0
WP22405_ALL,Last Time You Experienced Psychological Violence/Harassment (or Psychologically Hurting)  at Work,0,1,0,0,0,,,,0
WP22406,Ever Experienced Sexual Violence/Harassment at Work,0,1,0,0,0,,,,0
WP22406_ALL,Ever Experienced Sexual Violence/Harassment (or Unwanted Intimate Physical Contact) at Work,0,1,0,0,0,,,,0
WP22407,How Many Times You Experienced Sexual Violence/Harassment at Work,0,1,0,0,0,,,,0
WP22407_ALL,How Many Times You Experienced Sexual Violence/Harassment (or Unwanted Intimate Physical Contact) at Work,0,1,0,0,0,,,,0
WP22408,Last Time You Experienced Sexual Violence/Harassment at Work,0,1,0,0,0,,,,0
WP22408_ALL,Last Time You Experienced Sexual Violence/Harassment (or Unwanted Intimate Physical Contact) at Work,0,1,0,0,0,,,,0
WP22409,Told Someone About Violence/Harassment Experienced at Work,0,1,0,0,0,,,,0
WP22410,Told Your Employer or Supervisor About Violence/Harassment Experienced at Work,0,1,0,0,0,,,,0
WP22411,Told Co-worker About Violence/Harassment Experienced at Work,0,1,0,0,0,,,,0
WP22412,Told Friend or Family About Violence/Harassment Experienced at Work,0,1,0,0,0,,,,0
WP22413,Told a Trade Union Representative About Violence/Harassment Experienced at Work,0,1,0,0,0,,,,0
WP22414,Told Social Services or Not-For-Profit Organization About Violence/Harassment Experienced at Work,0,1,0,0,0,,,,0
WP22415,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Thought it Was a Waste of Time,0,1,0,0,0,,,,0
WP22416,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: You Did Not Know What to Do,0,1,0,0,0,,,,0
WP22417,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Procedures at Work Were Unclear,0,1,0,0,0,,,,0
WP22418,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Worried People at Work Would Find Out,0,1,0,0,0,,,,0
WP22419,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Fear of Punishment,0,1,0,0,0,,,,0
WP22420,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Fear for Your Reputation,0,1,0,0,0,,,,0
WP22421,Told Police/Community Leader/Labor Inspector About Violence/Harassment Experienced at Work,0,1,0,0,0,,,,0
WP22422,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Lack of Trust in Police/Community Leaders/Labor Inspectors,0,1,0,0,0,,,,0
WP22442,Experienced Harm in Past Two Years: Eating Food (You/Someone You Know),0,1,1,1,1,0,100,100,1
WP22443,Experienced Harm in Past Two Years: Drinking Water (You/Someone You Know),0,1,1,1,1,0,100,100,1
WP22444,Experienced Harm in Past Two Years: Violent Crime (You/Someone You Know),0,1,1,1,1,0,100,100,1
WP22445,Experienced Harm in Past Two Years: Severe Weather Events (You/Someone You Know),0,1,1,1,1,0,100,100,1
WP22446,Experienced Harm in Past Two Years: Traffic/Roadside Accident (You/Someone You Know),0,1,1,1,1,0,100,100,1
WP22447,Experienced Harm in Past Two Years: Mental Health Issues (You/Someone You Know),0,1,1,1,1,0,100,100,1
WP22448,Experienced Harm in Past Two Years: Work (You/Someone You Know),0,1,1,1,1,0,100,100,1
WP22468,Worry About Personal Information: Being Used by the Authorities,0,1,0,0,0,,,,0
WP22469,Authorities of (Country) Care About You and Your Wellbeing,0,1,0,1,1,0,1,1,1
WP22500,Ever Experienced Someone Psychologically Hurting You at Work,0,1,0,0,0,,,,0
WP22501,How Many Times You Experienced Someone Psychologically Hurting You at Work,0,1,0,0,0,,,,0
WP22502,Last Time You Experienced Someone Psychologically Hurting You at Work,0,1,0,0,0,,,,0
WP22503,Ever Experienced Unwanted Intimate Physical Contact at Work,0,1,0,0,0,,,,0
WP22504,How Many Times You Experienced Unwanted Intimate Physical Contact at Work,0,1,0,0,0,,,,0
WP22505,Last Time You Experienced Unwanted Intimate Physical Contact at Work,0,1,0,0,0,,,,0
WP22513,Ever Experienced Physical Violence/Harassment at Work (e.g. Hitting/Restraining),0,1,0,0,0,,,,0
WP22524,Worry About Personal Information: Being Used by Government in Power,0,1,0,0,0,,,,0
WP22525,Government of Myanmar Cares About You and Your Wellbeing,0,1,0,1,0,,,,0
WP22526,Well Prepared to Deal With a Disaster: The Government in Power,0,1,0,0,0,,,,0
WP23335,Told Someone About Harm Experienced at Work,0,0,1,0,1,0,0,10,0
WP23336,Last Time Employed or Self-Employed,0,0,1,0,1,0,0,100,0
WP23337,Received Health or Safety Training About Your Work,0,0,1,0,1,0,0,84,0
WP23338,Received Health or Safety Training About Your Work in Past Two Years,0,0,1,0,1,0,0,28,0
WP23340,Job Sector (Coded),0,0,1,0,1,0,0,100,0
WP23341,Most Common Type of Material in Household Waste,0,0,1,0,1,0,0,100,0
WP23342,Household Waste Is Separated,0,0,1,0,1,0,0,100,0
WP23343,What Happens to Household Waste Once Taken Outside of Home,0,0,1,0,1,0,0,100,0
WP23344,Experienced a Disaster in Past Five Years in This Country,0,0,1,0,1,0,0,100,0
WP23345,Plan for Future Disaster Known by All Household Members Over 10 Years Old,0,0,1,1,1,0,0,100,1
WP24173,Worried Wildfires Could Cause Serious Harm,0,0,0,1,0,,,,1
WP24174,Worried Severe Prolonged Weather Events Could Cause Serious Harm,0,0,0,1,0,,,,1
WP24175,Worried the Air You Breathe Could Cause Serious Harm,0,0,0,1,0,,,,1
WP24176,Experienced Harm in Past Two Years: Wildfires (You/Someone You Know),0,0,0,1,0,,,,1
WP24177,Experienced Harm in Past Two Years: Severe Prolonged Weather Events (You/Someone You Know),0,0,0,1,0,,,,1
WP24178,Experienced Harm in Past Two Years: The Air You/They Breathe (You/Someone You Know),0,0,0,1,0,,,,1
WP24180,Type of Most Impactful Disaster Experienced in Past Five Years (Coded),0,0,0,1,0,,,,0
WP24181,"Received Warning About Disaster From Internet, Social Media, Websites or Apps",0,0,0,1,0,,,,1
WP24182,Received Warning About Disaster From Radio,0,0,0,1,0,,,,1
WP24183,Received Warning About Disaster From Television,0,0,0,1,0,,,,1
WP24184,Received Warning About Disaster From Printed Newspapers or Magazines,0,0,0,1,0,,,,1
WP24185,Received Warning About Disaster From WhatsApp,0,0,0,1,0,,,,1
WP24186,Received Warning About Disaster From SMS/Text Messages on Mobile Phone,0,0,0,1,0,,,,1
WP24187,Received Warning About Disaster From Billboard,0,0,0,1,0,,,,1
WP24188,"Received Warning About Disaster From Megaphone, Microphone, or Loudspeaker",0,0,0,1,0,,,,1
WP24198,National Government Is Well Prepared to Deal With a Disaster,0,0,0,1,0,,,,1
WP24199,Local Government Is Well Prepared to Deal With a Disaster,0,0,0,1,0,,,,0
WP24213,Impacted by a Disaster in Past Five Years in (Country),0,0,0,1,0,,,,1
WP24215,Able to Take Action Ahead of Disaster as Result of Advance Warning,0,0,0,1,0,,,,1
WP24225,Most Other People in (Country) View Climate Change as Threat to Country in Next 20 Years,0,0,0,1,0,,,,1
WP24386,Government Currently in Power Is Well Prepared to Deal With a Disaster,0,0,0,1,0,,,,1
WP3117,,0,0,0,0,0,,,,1
WP5,Country,0,1,1,1,1,100,100,100,0
WP5889,Questionnaire Serial Number,0,0,0,1,0,,,,0
WP5AA,Country (by alpha),1,0,0,0,0,,,,0
WP9811,Education Level,0,0,0,1,0,,,,0
WPID,Unique Case ID,0,0,0,1,0,,,,1
WPID_RANDOM,Random Unique Case ID,1,1,1,1,1,100,100,100,0
Worried.Index,Worried Index,1,0,0,0,0,,,,0
YEAR_CALENDAR,Calendar Year,0,0,0,1,0,,,,0
YEAR_WAVE,Wave Year,1,0,0,1,0,,,,0
Year,Wave year,0,1,0,0,1,,,,0
countrynew,Country Name,1,0,0,0,0,,,,0
experience_index,Experience Index in 2025,0,0,0,1,0,,,,1
resilience_com,Resilience: Community Dimension,0,0,1,1,0,,,,1
resilience_hhl,Resilience: Household Dimension,0,0,1,1,0,,,,1
resilience_idv,Resilience: Individual Dimension,0,0,1,1,0,,,,1
resilience_index,Resilience Index,0,0,1,1,1,0,96,99,1
resilience_soc,Resilience: Society Dimension,0,0,1,1,0,,,,1
wbi,World Bank country classification by income level (2025-26 definiton),0,0,0,1,0,,,,1
worry_exp_gap,Worry and experience gap,1,0,0,0,0,,,,0
worry_index,Worry Index in 2025,0,0,0,1,0,,,,1
